,VehiclePicture,OverallRating,OverallFrontCrashRating,FrontCrashDriversideRating,FrontCrashPassengersideRating,FrontCrashPicture,FrontCrashVideo,OverallSideCrashRating,SideCrashDriversideRating,SideCrashPassengersideRating,SideCrashPicture,SideCrashVideo,combinedSideBarrierAndPoleRating-Front,combinedSideBarrierAndPoleRating-Rear,sideBarrierRating-Overall,RolloverRating,RolloverRating2,RolloverPossibility,RolloverPossibility2,dynamicTipResult,SidePoleCrashRating,SidePolePicture,SidePoleVideo,NHTSAElectronicStabilityControl,NHTSAForwardCollisionWarning,NHTSALaneDepartureWarning,ComplaintsCount,RecallsCount,InvestigationCount,ModelYear,Make,Model,VehicleDescription,VehicleId,Case Name
0,https://static.nhtsa.gov/images/vehicles/11291_st0640_046.png,4,4,5,4,https://static.nhtsa.gov/crashTest/images/2017/v07038P024.jpg,https://static.nhtsa.gov/crashTest/videos/2017/v07038C013.wmv,5,4,5,https://static.nhtsa.gov/crashTest/images/2017/v07064P069.jpg,https://static.nhtsa.gov/crashTest/videos/2017/v07064C014.wmv,4,5,5,4,Not Rated,0.174,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2017/v07037P016.jpg,https://static.nhtsa.gov/crashTest/videos/2017/v07037C014.wmv,Standard,Optional,Optional,184,0,0,2017,CHEVROLET,EQUINOX,2017 Chevrolet Equinox SUV AWD,11021,120001
1,https://static.nhtsa.gov/images/vehicles/11291_st0640_046.png,4,4,5,4,https://static.nhtsa.gov/crashTest/images/2017/v07038P024.jpg,https://static.nhtsa.gov/crashTest/videos/2017/v07038C013.wmv,5,4,5,https://static.nhtsa.gov/crashTest/images/2017/v07064P069.jpg,https://static.nhtsa.gov/crashTest/videos/2017/v07064C014.wmv,4,5,5,4,Not Rated,0.191,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2017/v07037P016.jpg,https://static.nhtsa.gov/crashTest/videos/2017/v07037C014.wmv,Standard,Optional,Optional,184,0,0,2017,CHEVROLET,EQUINOX,2017 Chevrolet Equinox SUV FWD,11020,120001
2,https://static.nhtsa.gov/images/vehicles/11406_st0640_046.png,5,4,4,4,https://static.nhtsa.gov/crashTest/images/2017/v08909P087.jpg,https://static.nhtsa.gov/crashTest/videos/2017/v08909C016.wmv,5,5,5,https://static.nhtsa.gov/crashTest/images/2017/v08907P110.jpg,https://static.nhtsa.gov/crashTest/videos/2017/v08907C012.wmv,5,5,5,4,Not Rated,0.103,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2017/v08908P076.jpg,https://static.nhtsa.gov/crashTest/videos/2017/v08908C012.wmv,Standard,No,No,236,3,0,2017,KIA,FORTE,2017 Kia Forte 4 DR FWD,11072,120002
3,https://static.nhtsa.gov/images/vehicles/6522_st0640_046.png,Not Rated,Not Rated,4,5,,,Not Rated,4,4,https://static.nhtsa.gov/crashTest/images/2010/07Cobalt2-s.jpg,,Not Rated,Not Rated,Not Rated,Not Rated,4,0.0,0.109, ,Not Rated,,,Optional,No,No,573,6,1,2010,CHEVROLET,COBALT,2010 Chevrolet Cobalt 2-DR  w/SAB,5683,120004
4,https://static.nhtsa.gov/images/vehicles/6657_st0640_046.png,Not Rated,Not Rated,4,5,https://static.nhtsa.gov/crashTest/images/2010/05Cobalt4-f.jpg,https://static.nhtsa.gov/crashTest/videos/2010/05Cobalt4-f.wmv,Not Rated,3,5,https://static.nhtsa.gov/crashTest/images/2010/07Cobalt4-s.jpg,https://static.nhtsa.gov/crashTest/videos/2010/07Cobalt4-s.wmv,Not Rated,Not Rated,Not Rated,Not Rated,4,0.0,0.111, ,Not Rated,,,Optional,No,No,573,6,1,2010,CHEVROLET,COBALT,2010 Chevrolet Cobalt 4-DR w/SAB,5682,120004
5,https://static.nhtsa.gov/images/vehicles/12331_st0640_046.png,Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,,,Standard,Optional,Optional,14,1,0,2018,CADILLAC,ATS,2018 Cadillac ATS 2DR RWD,12229,120005
6,https://static.nhtsa.gov/images/vehicles/12331_st0640_046.png,Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,,,Standard,Optional,Optional,14,1,0,2018,CADILLAC,ATS,2018 Cadillac ATS 2DR AWD,12228,120005
7,https://static.nhtsa.gov/images/vehicles/12235_st0640_046.png,5,5,5,5,https://static.nhtsa.gov/crashTest/images/2018/v08045P082.jpg,https://static.nhtsa.gov/crashTest/videos/2018/v08045C021.wmv,5,5,5,https://static.nhtsa.gov/crashTest/images/2018/v08980P106.jpg,https://static.nhtsa.gov/crashTest/videos/2018/v08980C011.wmv,5,5,5,5,Not Rated,0.101,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2018/v08981P074.jpg,https://static.nhtsa.gov/crashTest/videos/2018/v08981C011.wmv,Standard,Optional,Optional,14,1,0,2018,CADILLAC,ATS,2018 Cadillac ATS 4 DR AWD,12227,120005
8,https://static.nhtsa.gov/images/vehicles/12235_st0640_046.png,5,5,5,5,https://static.nhtsa.gov/crashTest/images/2018/v08045P082.jpg,https://static.nhtsa.gov/crashTest/videos/2018/v08045C021.wmv,5,5,5,https://static.nhtsa.gov/crashTest/images/2018/v08980P106.jpg,https://static.nhtsa.gov/crashTest/videos/2018/v08980C011.wmv,5,5,5,5,Not Rated,0.101,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2018/v08981P074.jpg,https://static.nhtsa.gov/crashTest/videos/2018/v08981C011.wmv,Standard,Optional,Optional,14,1,0,2018,CADILLAC,ATS,2018 Cadillac ATS 4 DR RWD,12226,120005
9,https://static.nhtsa.gov/images/vehicles/0734_st0640_046.jpg,Not Rated,Not Rated,4,5,,,Not Rated,5,5,,,Not Rated,Not Rated,Not Rated,3,2,0.0,0.0, ,Not Rated,,,Optional,No,No,390,4,5,2002,MERCURY,MOUNTAINEER,2002 Mercury Mountaineer 4-DR.,4596,120009
10,https://static.nhtsa.gov/images/vehicles/5080_st0640_046.png,Not Rated,Not Rated,5,5,https://static.nhtsa.gov/crashTest/images/2008/07Rondo-f.JPG,https://static.nhtsa.gov/crashTest/videos/2008/07Rondo-f.wmv,Not Rated,5,4,https://static.nhtsa.gov/crashTest/images/2008/07Rondo-s.jpg,https://static.nhtsa.gov/crashTest/videos/2008/07Rondo-s.wmv,Not Rated,Not Rated,Not Rated,Not Rated,4,0.0,0.133, ,Not Rated,,,Standard,No,No,97,3,1,2008,KIA,RONDO,2008 Kia Rondo 4-DR. w/SAB,2435,120011
